"Timestamp","Where did you hear about this survey?","I understand that my responses in this survey will be used for research purposes.","Gender","Race","Age","If you are currently in school: which best describes your current studies?","If you are not currently in school: what is the highest degree you hold?","Which category best describes your major?","What school do you attend?","How many hackathons have you attended?","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Good team dynamic]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Prestige of institution]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Availability of places to sleep/showers]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Value of prizes]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Mentorship]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Ability to put final project on resume]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Networking opportunities (good sponsors)]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Quality of free food/swag]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Low cost of attendance]","How important are the following aspects of a hackathon on a scale of 1 (not important) to 5 (very important) [Diverse group of attendees]","What is your preferred length for a hackathon?","Have you ever worked on a hackathon project after the end of the hackathon?","Have you stayed in touch with people you've met at hackathons?","Would you rather...","Do you identify as a ""hacker?""","How many members does your ideal hackathon team have?","Have you ever received an interview as a result of attending a hackathon?","What types of hackathons have you attended?","I know that final exams are in full swing and you're probably taking this survey to procrastinate. Do you have the time to answer long answer questions?","What inspired you to attend your first hackathon?","Describe your most POSITIVE hackathon experience.","Describe your most NEGATIVE hackathon experience.","Many hackathon projects never get past the prototyping phase. Do they still matter? Why or why not?","What is your favourite part of a hackathon, and why?","What is your least favourite part of a hackathon, and why?","How would you like to see hackathons change?","If you have organized a hackathon: what kinds of mechanisms (if any) do you put in place to facilitate inclusivity and diversity at your hackathon?","If you have any other comments on hackathons in general, put them here."
"2016/12/08 4:22:21 PM EST","Ladies Storm Hackathons","Yes","Female","East Asian","22","Undergraduate student (5th+ year)","","Computer Science (or related fields like Software Engineering)","University of Central Florida","5+","5","1","3","4","5","4","4","5","5","5","24h <= length < 36h","No","Yes","Be the least experienced member of your team","Yes","4","Yes","University hackathon;Corporate hackathon","No, but I will anyways","Man I wish I attended them sooner. I was getting jaded with my college experience and not feeling inspired by my Computer Engineering major, I wanted to rekindle my interests and saw one I could actually attend. ","Hack the Planet, the first hackathon finale, Everyone was awesome, loved being there passionate about hackathons.","When wifi was crappy, couldn't submit. ","Yes, it's the learning that counts","Learning and meeting the same people over in different places","Money for travel","More mentorships, more hackathon success stories","Include speakers that are diverse,  make sure that the organizing team is diverse. ",""
"2016/12/08 4:25:22 PM EST","HackMcGill","Yes","Female","South Asian","20","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","McGill University","4","5","4","4","2","3","4","4","3","5","4","24h <= length < 36h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","4","No","University hackathon","Yes","I attended my first one due to encouragement from other CS students saying that despite my lack of experience I'd still get to learn a lot. I was also really excited about getting to visit other prestigious universities for free/very cheap.","At one of my hackathons my team managed to get a fully functional project that a lot of sponsors showed interest in during the demos. It was really great having that kind of input even though we didn't win.","My worst experience was when two students at the university where the hackathon took place decided to tour the hall in which hackathon attendees were coding and tried to single out the female coders to ask them out to a party (they made it pretty clear they were hitting on the girls and trying to get them to come out and drink with them). It's worth noting they weren't attending the hackathon themselves. ","I think they do - it's unrealistic to build a great product overnight and just being able to get a working prototype takes effort and is a great learning experience especially if you're trying something new. It also helps you come up with ideas for future projects.","Meeting other students from your own university and different universities. I've made friends with CS McGill students just because we got to chat on a hackathon bus. It's great to hear about what they want to accomplish and to try to help each other out.","It's hard to pinpoint - some cons of hackathons (such as sleeping spaces, quality of food and availability of coffee/energy drinks) are handled well at certain universities and handled poorly at others. ","It'd be great to have a more diverse group of people attending these events, as well as greater collaboration during the event - the prizes can sometimes lead to an environment in which people get too competitive to check out what others are working on.","",""
"2016/12/08 4:28:51 PM EST","Hackathon Hackers","Yes","Male","East Asian","18","Undergraduate student (1st year)","","Computer Science (or related fields like Software Engineering)","","1","5","4","4","4","5","4","5","4","5","4","24h <= length < 36h","Yes","Yes","Be the least experienced member of your team","No","3","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 4:47:46 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","22","Undergraduate student (5th+ year)","","Computer Science (or related fields like Software Engineering)","Illinois Institute of Technology","2","5","2","5","4","4","3","2","2","5","4","12h > length","No","Yes","Be the least experienced member of your team","No","2","No","Corporate hackathon;Online hackathon","Yes","I did the social media for the Cisco internet of things world forum hackathon. I wished I was writing code instead, so I went as a Dev the next time!","Working with amazing teammates to learn something new. ","I will not sleep on the floor in a stadium with a bunch of dudes I don't know. This prevented me from going to haxkathons that weren't local. ","Any learning is good.","The conversations. ","Staying up all night. I never stay overnight. It wrecks me for the school week ahead.","More non-overnight events. More women mentors. Beauty and fashion themed hackathons. ","",""
"2016/12/08 4:57:37 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","22","","Undergraduate degree","Psychology","University of Illinois at Urbana-Champaign","5+","5","1","5","1","5","5","5","1","5","5","36h <= length < 48h","Yes","Yes","Be the least experienced member of your team","No","3","No","University hackathon;Corporate hackathon","Yes","It sounded badass","I worked on a team with people I knew well and we really made something cool with an unsupervised learning algorithm! It was the first student-run hackathon I had been to and the students running it did an absolutely fantastic job. #hackillinois ","ugh. there are so many, and they all center around not being taken seriously because of my gender. One that comes to mind is the team that was making (yet another) app that will help women call for help if they’re being attacked. They asked me to join their team, and for a split second I thought it was because they respected me as an engineer. Then they said, “yeah, we need a girl on our team, you know, for the demo to the judges.” I told them to never say that again and that I would not be joining their team but best of luck with their totally original idea. ","yes, the point of a hackathon is to learn. Nobody actually wants to use code in production that was written under that much of a time crunch. ","camaraderie wth my team! ","When students act like they are literally 5 year olds rather than almost full adults going into a professional industry. There’s a line between being fun and acting like children. ","bring in people from other majors. Engineers need to learn how to work with non-engineers! ","",""
"2016/12/08 5:02:26 PM EST","HackMcGill","Yes","Male","East Asian","21","Undergraduate student (3rd year)","","Engineering (non-software)","McGill University","1","3","4","1","2","4","3","2","4","5","3","24h <= length < 36h","No","No","Be the least experienced member of your team","Yes","4","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 5:02:41 PM EST","Facebook","Yes","Male","Caucasian","23","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","McGill","1","5","2","3","3","5","4","3","5","5","2","24h <= length < 36h","Yes","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","4","No","University hackathon","No, but I will anyways","","","","","","","","",""
"2016/12/08 5:05:34 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","20","Undergraduate student (2nd year)","","Computer Science (or related fields like Software Engineering)","Olin College","2","5","3","2","3","5","4","2","4","5","3","24h <= length < 36h","Yes","I've never met new people at hackathons","Be the most experienced member of your team","No","4","No","University hackathon","No, but I will anyways","","","","","","","","",""
"2016/12/08 5:09:28 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","22","Undergraduate student (5th+ year)","Undergraduate degree","Computer Science (or related fields like Software Engineering)","Olin College of Engineering ","5+","5","2","4","2","3","2","3","5","5","3","12h <= length < 24h","Yes","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","2","No","University hackathon;Social-issue oriented hackathon","No, but I will anyways","A TA for one of my classes was at a hackathon one weekend and I needed help with my homework, so I went to the hackathon and worked on the assignment I needed my TAs help on. ","At the start of the hackathon there were workshops on different technologies and I went to one and learned a new technology that I then used for my hackathon project that day. And there was mentorship on that technology because the person who ran the workshop was present to answer questions while I was working on the project. ","One teammate left halfway through and was supposed to come back but never did so our team was screwed because nobody else understood the part of the code they had worked on. ","Yes because it is about what you learn in making the prototype and the fun of the experience, not about the finished product at the end","Working on a project that is something I want to work on (as opposed to a homework assignment that is mandated)","Sleep deprivation ","I like the movement to have sleeping rooms so that there isn't the expectation that you stay up all night with no sleep. I also like the addition of workshops and learning opportunities that stress the learning aspects of hackathons rather than competition ","",""
"2016/12/08 5:10:46 PM EST","Ladies Storm Hackathons","Yes","Female","East Asian","21","Undergraduate student (4th year)","","Engineering (non-software)","","5+","4","2","2","3","3","1","3","3","5","1","12h > length","Yes","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","4","No","University hackathon;Corporate hackathon","No, but I will anyways","","","","","","","","",""
"2016/12/08 5:29:37 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","21","Undergraduate student (4th year)","","Computer Science (or related fields like Software Engineering)","University of Maryland, College Park","3","4","3","2","2","1","3","3","5","5","3","24h <= length < 36h","Yes","Yes","Be the most experienced member of your team","Yes","4","No","University hackathon","Yes","I was so nervous about going to a hackathon for my first time, but some women from my local Association for Women in Computing were enthusiastic about sending people to Pearl Hacks (a welcoming all-female hackathon), and I eventually applied after feeling nervous for a few weeks!","I felt SO proud and powerful after my third hackathon. Our team worked with hardware for the first time and we created a (mostly) working app (besides a few bugs it had). But this was out of my normal coding zone and we were able to demonstrate a product at the end, so I felt incredibly proud during presentations.","I went to a local hackathon that had a different structure than most hackathons. I think since it was planned my faculty members instead of students, it seemed a little more uptight than other hackathons.","As long as you are able to learn something new (whether it has to do with code or working with a team), I think that is still important.","The free things (especially shirts) because honestly I love free things like most college students.... second behind that, I love the demonstration part because it makes me feel so proud of what I've accomplished and learned.","The middle part of the hackathon because I usually feel too sleepy to stay up the whole time (hackathon coding is not my style) and sometimes most of the coding excitement for me is near the beginning (prototyping) and end (finishing touches).","","I helped to plan an all-womens hackathon this past semester. Though we were called all-women, we were open to all people who identified as female or nonbinary in hopes of helping all gender minorities. Additionally, we advertised our hackathon a lot in particular to beginners, high schoolers, and people from non-CS/engineering majors.",""
"2016/12/08 5:33:53 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","21","Undergraduate student (4th year)","","Computer Science (or related fields like Software Engineering)","","3","5","1","5","1","5","2","5","5","5","5","24h <= length < 36h","No","No","Be the least experienced member of your team","No","5","No","University hackathon","No, but I will anyways","I went to my first hackathon because I had a friend on the planning team. I was too nervous to attend one before because I didn't think that I was experienced enough, and when I got there I still didn't think I was experienced enough. ","I really like before opening ceremonies where people are talking and introducing themselves, the sponsors are out and everything is exciting and fresh(and people are hyped up for free swag)","I went to one where there was no place to ""live"" or work so everyone just left. It was negative because you didn't get any networking, but also I didn't want to hack there either so my team left as well. ","Yes! Hackathons should be about learning new technology and ","Around food time when you can ask everyone what they are working on. There are some fun projects and good ideas for the future!","Coming up with a group and project. I don't have 4 friends who will all be at this event without a formed team and idea. It's really intimidating to come in without those. ","I wish there was more support and mentorship. I have never felt very mentored at a hackathon. I haven't even had people come and ask me about my project while working. It's easy to get discouraged and give up when if there was a bit more guidance or support you could get some code to demo. ","",""
"2016/12/08 5:45:09 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","19","Undergraduate student (2nd year)","","Human-Centered Design & Engineering (UX)","University of Washington","2","3","1","5","1","5","5","4","3","4","2","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the most experienced member of your team","No","3","No","University hackathon;Corporate hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 5:50:15 PM EST","Ladies Storm Hackathons","Yes","Male","East Asian","23","","High school diploma","Computer Science (or related fields like Software Engineering)","","5+","5","1","3","3","5","1","3","5","5","5","36h <= length < 48h","Yes","Yes","Be the most experienced member of your team","Yes","5","Yes","University hackathon;Social-issue oriented hackathon;Technical challenge oriented hackathon;Corporate hackathon;Online hackathon","No, but I will anyways","YOLO","","","","","","","",""
"2016/12/08 6:37:56 PM EST","Ladies Storm Hackathons","Yes","Male","South Asian","19","Graduate student","Undergraduate degree","Computer Science (or related fields like Software Engineering)","","5+","3","1","5","1","5","3","5","5","3","5","12h <= length < 24h","Yes","Yes","Be the most experienced member of your team","Yes","4","Yes","University hackathon;Social-issue oriented hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 6:44:14 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","22","","Undergraduate degree","Engineering (non-software)","CWRU","2","4","2","4","2","4","4","4","4","4","4","36h <= length < 48h","Yes","I've never met new people at hackathons","Be the most experienced member of your team","No","2","No","University hackathon","Yes","A lot of my friends were working on projects during HackCWRU in 2015, so I wanted to be involved. ","Last year at HackCWRU, I spent 35 hours setting up a circuit for measuring EMG signals. I didn't end up submitting this project or pulling data from it during the span of the hackathon. I used the hackathon to get a lot done in Case's makerspace - thinkbox. Having overnight access to a makerspace is always a big plus. The hackathon jumpstarted my capstone and eventually became a project that went on my resume. My background is a degree in EE/BME. HackCWRU was a great experience for me because the EE equipment was available to attendees. Its rare to find a hackathon that has EE equipment or students coding firmware, so it was great to interact with others on these topics.","I haven't attended enough hackathons to have negative experiences.","A hackathon can jumpstart a project, even if the end result is an unfinished project or a prototype. The skills learned during a hackathon are still valuable, even if the project doesn't continue. It also is a chance to practice team work, which reflects in later projects or in the workplace.","Meeting people who are doing interesting projects and are passionate about their field.","Pulling an allnighter. I don't think this is the best way to do things. It's easier to make mistakes under these conditions.","I would like to see hackathons that have the resources for electrical engineering design, and embedded firmware design. ","I would inquire about students interested in attending without teams or ideas. I would try to setup a meeting before hand where they can discuss their ideas and form teams with the help of the hackathon regulars. I would try to promote the hackathon to groups such a SWE, NSBE, and SHIPE (society of women engineers, black engineers, Hispanic engineers. I think its important for the organizers to show up at other engineering societies and personally invite them to the hackathon (and explain what a hackathon is).","My experience is a bit different then most so I hope this was still helpful!"
"2016/12/08 6:58:25 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","19","Undergraduate student (2nd year)","","Humanities (i.e. Anthropology, Sociology)","North Carolina State University","2","4","1","3","3","5","2","5","4","5","5","24h <= length < 36h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the most experienced member of your team","Yes","4","Yes","University hackathon;Social-issue oriented hackathon","No, but I will anyways","I was a junior in high school and I wanted to learn more about computer science. My counselor suggested I look at Pearl Hacks and I did","The first hackathon I went to was very supportive, I learned a lot, I got to meet new people and no one treated me like I was out of place","Lack of diversity and a huge feeling like because I didn't know as much as my team members I did not belong there. I ended up not actually contributing very much to the project at all and just networking which is important but not what I wanted to do. ","I think yes, because it's still a chance to explore an idea and to know that your coding and your experience can do something in the real world","The middle of the night/early morning. A lot of people are asleep/or really quiet but you also have this great sense of belonging and understanding that everyone there is working on something, we are all using our knowledge to the best of our abilities and that we can and will go on to do greater things","The beginning. It sucks when you don't know anyone, you haven't made teams, and you have to agree and come up with an idea to work on. My least favorite part of any project is getting started. Once I begin, I love it and will work on it, but it's the beginning stages that are just so awkward. ","I would like to see more emphasis on diversity (skill level, race, sex, age, gender) as well as a sort of noob workshop or some way for people who are new to hackathons or to coding in general can learn more without fear of being thought out of place because they don't know anyone. ","I actually help run a hackathon called DiamondHacks, and we have a policy of including everyone that applies, but also to have extra focus on students who have never been to a hackathon, are new to coding or who are part of a minority because we believe that it is important to make sure that people feel comfortable during their first hackathon so that when they do go on to other hackathons and as their experiences grow they still feel like they belong because their first hackathon was with someone they identify with and they know that they are not alone in the field. ","I think hackathons have started to become more corporate? and I wish they would go back to being more about coding for coding's sake and not for any real gain like prizes or swag or networking because I feel like it can put too much pressure on students to be good at everything when they come in and for them to ""win"" at hackathons. "
"2016/12/08 7:10:39 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","20","Undergraduate student (2nd year)","","Computer Science (or related fields like Software Engineering)","Olin College","2","5","3","2","3","5","4","2","4","5","3","24h <= length < 36h","Yes","I've never met new people at hackathons","Be the most experienced member of your team","No","4","No","University hackathon","No, but I will anyways","","","","","","","","",""
"2016/12/08 7:38:20 PM EST","Hackathon Hackers","Yes","Male","Caucasian","20","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","Brandeis University","5+","4","1","4","1","1","3","3","4","5","5","24h <= length < 36h","Yes","Yes","Be the least experienced member of your team","Yes","4","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 7:39:58 PM EST","Ladies Storm Hackathons","Yes","Female","East Asian","19","Undergraduate student (2nd year)","","Interdisciplinary combination of Arts & Sciences","Stanford University","5+","4","4","4","3","3","4","4","4","5","4","24h <= length < 36h","Yes","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","3","No","University hackathon;Corporate hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 7:50:19 PM EST","Ladies Storm Hackathons","Yes","Female","Latinx","23","Undergraduate student (5th+ year)","","Physical Science (i.e. Physics, non-organic Chemistry)","University of Illinois at Urbana-Champaign ","1","4","4","4","3","5","4","5","5","5","3","36h <= length < 48h","Yes","No","Be the least experienced member of your team","Yes","4","No","University hackathon","No, but I will anyways","","","","","","","","",""
"2016/12/08 7:55:59 PM EST","Ladies Storm Hackathons","Yes","Male","Caucasian","21","Undergraduate student (4th year)","","Computer Science (or related fields like Software Engineering)","University of Michigan","5+","5","4","3","3","4","3","4","3","5","4","24h <= length < 36h","Yes","Yes","Be the least experienced member of your team","Yes","4","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 8:15:25 PM EST","Ladies Storm Hackathons","Yes","genderqueer","Caucasian","24","","Masters degree","Computer Science (or related fields like Software Engineering)","","5+","1","1","5","1","1","2","2","3","1","4","12h <= length < 24h","Yes","Yes","Be the least experienced member of your team","Yes","1","Yes","University hackathon;Social-issue oriented hackathon;Technical challenge oriented hackathon;Corporate hackathon","Yes","$$$","","","","","","","",""
"2016/12/08 8:22:55 PM EST","Ladies Storm Hackathons","Yes","Female","Black","19","Undergraduate student (4th year)","","Computer Science (or related fields like Software Engineering)","","1","4","2","4","5","3","4","3","4","5","3","24h <= length < 36h","No","Yes","Be the most experienced member of your team","Yes","4","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 8:26:32 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","18","Undergraduate student (1st year)","","Computer Science (or related fields like Software Engineering)","Penn State University Park","2","5","3","5","5","5","4","4","5","5","5","24h <= length < 36h","Yes","More or less (i.e. added them on Facebook, creep them occasionally)","Be the most experienced member of your team","No","4","No","University hackathon;High School Hackathon","No, but I will anyways","I was a HS senior that was bummed about missing a HS-only hackathon near me the year before","Knowing people at the havkathon that I have met before through HH","Having teammates hog the majority of the work and running out of things to do at 3 AM","Yes, because of the skills learned through them","The creativity boost that I get for a few weeks/months after","The food; I'm autistic and there's usually not much that I can eat without having sensory problems","Better food options, gender ratios, hygine, and places to sleep","",""
"2016/12/08 8:27:27 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","23","","Undergraduate degree","Computer Science (or related fields like Software Engineering)","","5+","1","4","5","1","4","1","4","4","5","5","12h <= length < 24h","Yes","Yes","Be the least experienced member of your team","No","3","No","University hackathon;Social-issue oriented hackathon;Corporate hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 9:02:12 PM EST","Ladies Storm Hackathons","Yes","Female","East Asian","20","Undergraduate student (3rd year)","","Life Science (i.e. Biology, Pre-Med)","Brandeis University","3","5","4","2","1","3","5","5","5","4","5","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","4","Yes","University hackathon;Technical challenge oriented hackathon;Corporate hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 9:18:38 PM EST","Ladies Storm Hackathons","Yes","Female","South East Asian","24","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","Columbia University","5+","4","3","4","4","4","1","5","3","5","2","12h <= length < 24h","Yes","Yes","Be the least experienced member of your team","No","5","No","University hackathon;Social-issue oriented hackathon;Technical challenge oriented hackathon;Corporate hackathon;Online hackathon","Yes","Just to see what it was about! I was studying business before I transferred and I was bored with my classes.","It was held by TIME Magazine some 2 years ago, people were genuinely friendly, not many were hacking because they already knew each other -- which is the biggest turnoff for me at hackathons because honestly, when groups of people who knew each other are hacking with each other it creates this divide that we are ""the others"". Anyway, TIME Magazine tried to recognize the merits of each group even after they gave out prizes to the top 3 winners! Their comments were genuine unlike the usual ""oh well done, good job"" and they had engineers comment on how they see potential in those who didn't win or find similarities in what they were currently doing. ","Hack Harvard, most students were super obnoxious, the beginner vs intermediate vs expert workshops were not well executed and they had way too many participants.","They still matter. In fact, I find that many ideas overlap each other after going to so many hackathons. ","THE PITCHES! It's when people get really excited about their ideas!","IF I don't find something to work on, I immediately feel left out or don't feel compelled to stay.","I wish there was a hackathon that can match designers to engineers to various other skills into a team. A randomizer that make different people work together.","I don't have any, but see above?","I STILL LOVE GOING TO HACKATHONS, it's a major reason why I switched into computer science! I want to make a product/improve an existing one and I enjoy coding!"
"2016/12/08 10:20:23 PM EST","From a friend","Yes","Female","East Asian","20","Undergraduate student (3rd year)","","Computer Science and Biology","McGill University","5+","5","1","5","3","3","5","4","5","4","5","24h <= length < 36h","Yes","Yes","Be the least experienced member of your team","Yes","4","Yes","University hackathon;Technical challenge oriented hackathon","No, but I will anyways","Friends who were really encouraging and positive.","Food and free swag + amazing people + late night jokes.","A teammate who wouldn't take my ideas seriously.","Yes because you still learn a lot and get free swag.","Free swag and food, and learning things. ","Travelling and lack of beds :( ","Better beds and better food/travelling reimbursements.","Post in different groups.","Love food and free swag."
"2016/12/08 10:32:59 PM EST","Ladies Storm Hackathons","Yes","Female","Black","22","","Masters degree","Computer Science (or related fields like Software Engineering)","","1","4","3","5","3","3","2","4","5","5","5","12h <= length < 24h","No","Yes","Be the least experienced member of your team","Yes","3","No","University hackathon","No, but I will anyways","","","","","","","","",""
"2016/12/08 10:41:47 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","21","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","","2","5","3","3","1","5","5","5","5","4","4","24h <= length < 36h","No","No","Be the least experienced member of your team","Yes","4","Yes","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 10:45:49 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","20","Undergraduate student (3rd year)","","Interdisciplinary combination of Arts & Sciences","Ithaca College","1","4","2","2","2","3","4","4","4","4","3","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","4","No","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 11:06:22 PM EST","Ladies Storm Hackathons","Yes","Female","East Asian","20","Undergraduate student (3rd year)","Undergraduate degree","Computer Science (or related fields like Software Engineering)","Georgia Tech ","4","5","5","3","3","2","5","5","4","5","3","36h <= length < 48h","Yes","Yes","Be the least experienced member of your team","Yes","4","No","University hackathon;Technical challenge oriented hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 11:24:15 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","20","Undergraduate student (3rd year)","","Computer Science (or related fields like Software Engineering)","The University of Texas at Austin ","2","4","3","4","2","4","3","5","4","5","4","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","3","Yes","University hackathon","No, END THIS SURVEY NOW","","","","","","","","",""
"2016/12/08 11:27:32 PM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","19","Undergraduate student (2nd year)","","Computer Science (or related fields like Software Engineering)","Mississippi State University","1","5","4","5","2","3","3","4","4","5","4","24h <= length < 36h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","No","4","No","Technical challenge oriented hackathon;Corporate hackathon","No, but I will anyways","I heard about people doing them and it seemed fun.  It looked like a good way to meet people and challenge myself","I've only gone to one, but the whole environment with the excitement and time pressure was something that I really enjoyed.  It was at a Google office, so the environment was comforatable to work in and there was an abundance of food/coffee.  ","I didn't have a team going in, so I made one there, and we made our team based on interest, not skill, and we were all front end coders or designers, so we were not a balanced team.  We were also all freshman, so no one really had a lot of experience","Yes, they still have a legacy in the memory of the team that prototyped them.  Although the projects never came to be, they helped the creators develop their problem solving skills and creativity, and these skills could have contributed to many more projects","The last half an hour before coding stops; I like the rush from the escalating time pressure","Hour 9ish where the fatigue starts to set in a little and the initial excitement is starting to fade","","",""
"2016/12/08 11:57:39 PM EST","Ladies Storm Hackathons","Yes","Female","East Asian","18","Undergraduate student (2nd year)","","Engineering (non-software)","a canadian university","2","5","1","3","2","3","1","5","5","5","2","24h <= length < 36h","No","Yes","Be the least experienced member of your team","No","3","No","University hackathon;Social-issue oriented hackathon","No, but I will anyways","people said 'hackathons are great u should go!!' so i did","this is going to sound really dumb and shallow but i was once in a hackathon team with my crush so i got to stay up with him all night and see him come out of the shower","wifi stopped working","the project doesnt matter, but the experience does. lets face it, if you want to make a serious project, you don't start at a hackathon.  hackathons are for tinkering with new stuffs.","meeting new people and bonding over stuff not working!","hype hype is so distracting sometimes i cant focus","take off all the non technical activities like cup stacking cuz theyre really distracting. instead organize more workshops and get more hardware.","","i actually dont like hackathons i would rather just work on a project with a small group of friends over a weekend in one of the computer labs or something."
"2016/12/09 12:01:13 AM EST","Hackathon Hackers","Yes","Male","South Asian","21","Undergraduate student (4th year)","","Computer Science (or related fields like Software Engineering)","McGill University","2","5","5","3","3","4","3","5","4","4","2","24h <= length < 36h","No","Yes","Be the least experienced member of your team","Yes","4","Yes","University hackathon;Technical challenge oriented hackathon","No, but I will anyways","","","","","","","","",""
"2016/12/09 12:58:15 AM EST","Ladies Storm Hackathons","Yes","Female","Caucasian","21","Undergraduate student (3rd year)","","Life Science (i.e. Biology, Pre-Med)","Brown University ","5+","4","3","4","2","4","4","3","4","4","4","12h <= length < 24h","No","More or less (i.e. added them on Facebook, creep them occasionally)","Be the least experienced member of your team","Yes","3","No","University hackathon;Spectra","No, but I will anyways","To impress a boy... It also sounded fun and I wanted to learn to code. I came into my first hackathon knowing nothing about CS and left knowing a tiny bit. And after the next one I knew a tiny bit more, and the next one I knew a tiny bit more, and eventually I realized if I wanted to really be able to do anything cool I should take a CS class and now here I am procrastinating on my CS final project by taking this survey! While it was really frustrating to not know anything, without hacking I don't think I would have ever tried to learn CS.","I loved the speakers and panels at Spectra this summer - they really made me feel welcome in the tech world!","I've had difficulty finding teams where I can contribute something useful. ","Yes, I see many of my hackathon projects as practice/learning experiences, and a way to get new skills. Some of them also act as inspiration for future ideas. Working on a no-strings-attached project can also help you find people you want to work with in the future on a real life project. ","Learning new things - I love having something to show for the time I spent there that I can take with me and apply to future endeavors. That's far more valuable to me that having a final product to show. ","Overnight coder smell, brogrammers, excessive junk food.","More interdisciplinary, more healthy food, comfortable chairs for so many consecutive hours of coding (!!!!!), special programming for beginners. ","","I haven't been to one in a while and that makes me sad - it can be difficult to sacrifice a whole weekend to travel and hacking when school is hectic. "
